No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
2388,이준희,남성,170.3,71.8,O형,19950507,010-1730-4208,b2614p,daum.net,무교,우리은행,6558-958-574751,6
2389,정상용,여성,159.2,57.0,A형,19711217,010-2371-5493,gq75o5qda3,naver.com,천주교,외환은행,947-149424-185,4
2391,김현택,남성,176.6,69.0,A형,19610404,010-8574-0765,nu3ggwygm,daum.net,불교,하나은행,505-797308-36779,5
2398,노덕우,남성,175.6,62.7,A형,19481122,010-4827-6508,aq1nli3a4511t,yahoo.com,기독교,기업은행,943-445846-12-988,9
2399,전지남,여성,156.2,54.5,O형,19760818,010-7302-1674,wiha2c,gmail.com,불교,외환은행,737-899932-446,9
2403,이준택,여성,159.5,52.0,O형,19491013,010-2474-5720,di62gkw,yahoo.com,무교,신한은행,896-468-342167,3
2410,곽훈용,여성,158.4,61.7,A형,19761114,010-9183-0670,h6sxxiq,daum.net,무교,새마을금고,9-77360353891-5,9
2412,유협영,남성,169.3,65.6,O형,19521125,010-4680-5851,i6sauwcl3,gmail.com,기독교,새마을금고,8-53989022918-7,9
2419,박진석,여성,152.7,56.6,B형,19530712,010-7661-7632,bovu9xr1,naver.com,불교,하나은행,808-364297-44826,3
2421,강서은,남성,175.1,66.1,B형,19731004,010-6959-4861,djrg6egg,gmail.com,무교,한국씨티은행,105-920907-267,2
2426,이서덕,남성,179.3,68.2,B형,19480128,010-7371-4445,cteyu9p2k9,gmail.com,기독교,한국씨티은행,679-973741-842,5
2427,탁상훈,여성,158.0,54.2,B형,19540429,010-4570-4781,rt4dz3,yahoo.com,불교,국민은행,944063-33-161065,5
2429,김진석,남성,164.3,69.9,A형,19651015,010-3535-3071,x5z7gijixzfm9,naver.com,불교,기업은행,322-152872-30-585,3
2430,강택희,남성,169.2,65.7,O형,19770129,010-9869-9741,gr4xye,daum.net,무교,한국씨티은행,055-248575-927,7
2433,하남성,여성,158.3,54.7,AB형,19530224,010-3505-2271,hyei9b4beu,gmail.com,불교,새마을금고,9-42578797600-1,9
2437,김협남,여성,154.1,60.1,A형,19760323,010-0340-0591,luzrtge,yahoo.com,불교,우리은행,5796-105-272706,2
2439,임남지,남성,165.9,71.7,B형,19591228,010-0941-4633,rxdnfqp,gmail.com,무교,외환은행,271-410383-085,9
2452,권석덕,여성,150.4,62.4,A형,19820518,010-7573-4469,nz5p2a9f74t,yahoo.com,무교,기업은행,117-302645-37-032,6
2455,이희진,여성,165.9,59.7,A형,19570812,010-3848-9293,fw4rxsk39,naver.com,불교,NH농협,752-2384-731-78,8
2459,이지서,여성,151.6,56.0,A형,19801225,010-7018-4540,g89iv5wdpqiz,gmail.com,기독교,새마을금고,6-16810046504-7,6
2462,정석현,남성,167.9,67.3,A형,19520601,010-5089-3716,h1nyj8uomti,yahoo.com,불교,하나은행,387-297806-63485,3
2465,방영서,남성,168.6,66.4,O형,19640307,010-4379-7992,utuw1s28kcd,yahoo.com,불교,기업은행,610-154858-31-483,9
2470,김협준,남성,177.4,63.7,A형,19750829,010-6555-2366,kllitaiq1q6,yahoo.com,기독교,수협중앙회,4803-2526-9020,1
2472,고준훈,남성,171.2,64.9,B형,19730419,010-3209-1721,prf6fl,yahoo.com,불교,우리은행,0095-172-104313,3
2477,노영택,남성,163.3,65.2,O형,19760323,010-4822-2232,kp1i3lzc,daum.net,기독교,신한은행,327-980-137637,8
2489,한훈정,남성,167.2,67.6,A형,19610804,010-7415-3192,ehujdxtj5pe,naver.com,무교,새마을금고,4-33704233307-2,3
2493,이훈서,여성,154.3,52.7,A형,19871019,010-4123-0310,dq1xwwenwjr,naver.com,무교,신한은행,601-454-873426,6
2494,황지협,남성,173.6,69.6,B형,19960428,010-3160-8901,wywt1j,yahoo.com,불교,스탠다드(제일),948-13-473486,7
2495,강용은,남성,165.0,58.9,O형,19930207,010-9205-5364,u6web9x1w,yahoo.com,기독교,우리은행,7690-402-048950,6
2504,정상서,남성,170.0,67.4,O형,19890603,010-9425-5406,exby46,yahoo.com,불교,하나은행,744-796066-62784,2
2506,임우택,여성,159.8,55.5,B형,19790221,010-4438-8578,mhmya4yx,yahoo.com,불교,기업은행,298-731672-73-961,3
2509,이우희,여성,154.4,54.3,A형,19520216,010-5583-6707,eufgxg,daum.net,무교,NH농협,580-9123-536-89,8
2513,최훈현,남성,179.4,66.4,A형,19870521,010-2545-8720,rbu70b431h,naver.com,무교,하나은행,732-889605-13260,4
2524,김훈서,여성,156.4,52.2,B형,19930302,010-2077-5682,nsmtay3vb2,yahoo.com,무교,국민은행,003426-38-748707,9
2527,김택희,여성,146.9,59.7,O형,19501001,010-1014-1003,sbtagux0,yahoo.com,불교,한국씨티은행,840-890681-918,4
2532,김훈희,여성,157.7,60.0,A형,19620708,010-4879-7013,heq0jtp,naver.com,천주교,수협중앙회,9311-7987-8572,5
2538,조남우,여성,154.3,60.2,A형,19691014,010-7486-9441,prqhkf2rhh76,naver.com,기독교,새마을금고,5-26985969169-1,5
2540,윤준진,여성,157.9,58.2,AB형,19720702,010-6667-4072,ufyoin3bbqz,gmail.com,기독교,기업은행,034-541834-68-717,7
2548,전지훈,여성,168.3,52.8,AB형,19820210,010-8383-8229,c0np8zv5ko4,daum.net,기독교,한국씨티은행,304-499578-451,2
2555,이서우,여성,153.4,55.3,AB형,19800811,010-5518-5663,hds2a1qjyx,naver.com,기독교,기업은행,531-131128-76-192,8
2557,장은희,여성,160.4,52.8,B형,19770319,010-6728-4206,q98t6mv,daum.net,불교,NH농협,515-5094-999-76,5
2561,임지우,여성,156.6,55.6,B형,19680811,010-6225-7006,big92e,gmail.com,무교,우리은행,6859-167-491304,1
2564,김훈영,남성,173.9,65.3,AB형,19771025,010-7729-9337,fbkjlqqh0f,daum.net,무교,외환은행,912-513377-556,4
2574,김은준,남성,176.7,75.1,A형,19760512,010-3632-6201,lj8q9oro,naver.com,기독교,우리은행,2330-187-071473,8
2576,최우지,여성,155.8,60.5,A형,19740627,010-7144-7126,f5flehvhj,daum.net,불교,하나은행,964-163775-30504,4
2580,권성희,남성,166.7,70.9,A형,19660125,010-3718-4807,w735hrw,yahoo.com,무교,새마을금고,1-78656215257-6,1
2593,임진종,남성,171.5,60.4,A형,19840301,010-4147-4419,ovu58npn,gmail.com,무교,외환은행,867-557121-394,8
2606,송지덕,여성,164.0,46.7,AB형,19560616,010-5646-1466,ze5gp9cmqh7j2,gmail.com,불교,NH농협,909-2368-024-07,5
2610,박지정,여성,161.3,60.3,A형,19650420,010-4052-2059,zmh17sbo0,yahoo.com,무교,NH농협,940-0956-195-80,1
2612,김영훈,남성,179.4,70.4,B형,19840629,010-4994-3337,pybpihezc6c4p,daum.net,불교,하나은행,394-772097-55364,6
2614,한성정,여성,164.1,60.1,B형,19891030,010-4184-9330,zqee4cfi,yahoo.com,불교,한국씨티은행,339-795797-505,6
2615,최준종,여성,144.7,60.8,A형,19550623,010-1916-7147,hxh9tdrq,daum.net,불교,수협중앙회,3805-6343-9085,6
2620,신진서,여성,160.6,55.1,A형,19621210,010-2956-7825,r5lvcpyan9u,gmail.com,무교,우리은행,7783-430-864173,8
2624,변은협,남성,171.6,62.7,O형,19570826,010-6392-6892,rk1lo85hg2l8h,naver.com,무교,스탠다드(제일),689-99-350133,6
2626,백석정,남성,176.4,63.1,O형,19501103,010-3854-7038,jdo5ii,yahoo.com,무교,한국씨티은행,328-249128-966,2
2627,박훈종,남성,161.9,65.6,O형,19630227,010-7329-3549,y1pgsd3zkxik,yahoo.com,무교,우리은행,6022-607-520033,3
2630,어은협,남성,176.7,64.3,A형,19600402,010-4498-2460,jemx4f3,naver.com,무교,수협중앙회,3714-4189-7094,7
2632,최협진,남성,172.9,67.2,B형,19890806,010-3585-6870,n38m5jb,daum.net,무교,우리은행,5825-113-002693,6
2644,이지은,여성,151.6,49.6,O형,19490620,010-6610-4017,gs09m0m,gmail.com,불교,스탠다드(제일),797-86-300765,7
2645,안덕영,여성,159.4,56.2,A형,19550526,010-2754-6688,y4jyquxven6i,yahoo.com,천주교,우리은행,4102-949-849501,3
2650,이진은,남성,168.1,67.9,A형,19621216,010-3283-9481,xnsqnn69x,naver.com,무교,스탠다드(제일),907-49-957171,3
2657,최덕영,여성,139.8,53.3,B형,19861104,010-9555-4159,i9v69xan,gmail.com,천주교,새마을금고,3-21607013155-4,1
2660,김석용,남성,168.9,66.1,A형,19470730,010-1908-3723,yvf2g28,naver.com,무교,우리은행,0276-092-070772,6
2661,신석지,남성,164.8,62.8,A형,19941022,010-9751-4862,hywh9807st,gmail.com,기독교,신한은행,665-478-538427,9
2665,이은준,여성,152.9,48.8,B형,19500922,010-3602-2613,kgzksca,daum.net,기독교,새마을금고,4-14384616703-3,3
2667,조준정,남성,165.8,63.6,O형,19610510,010-1075-2422,o8fh4an8w,daum.net,무교,우리은행,8532-783-638411,4
2669,이성택,남성,171.3,68.5,B형,19681125,010-7315-2963,iwqfotcgwpr,gmail.com,무교,수협중앙회,7476-3501-9922,2
2671,김서훈,남성,164.0,57.4,B형,19470601,010-8556-2353,saudm4hmekt,daum.net,불교,외환은행,667-161460-193,7
2676,이준현,남성,175.8,65.9,B형,19660818,010-8208-2129,ht2oylda,naver.com,불교,스탠다드(제일),717-70-047422,1
2684,이정희,여성,156.7,60.1,B형,19941230,010-5092-6123,vx1jmr,yahoo.com,무교,NH농협,377-6009-508-47,7
2685,안석지,남성,174.5,68.3,O형,19700212,010-8141-5170,p9al2g5,gmail.com,무교,스탠다드(제일),082-75-156938,2
2686,최현은,여성,148.5,52.0,A형,19911121,010-6756-1778,l8q3c7,naver.com,무교,신한은행,634-507-641883,4
2688,한협용,여성,158.0,51.8,B형,19830626,010-8486-4138,crdv5p,gmail.com,기독교,스탠다드(제일),664-79-298440,8
2690,심진협,남성,166.4,64.3,B형,19570324,010-4784-9460,t5u4z0msq3j,naver.com,무교,한국씨티은행,811-366410-874,6
2692,박훈택,남성,174.5,64.7,A형,19800112,010-4360-1021,w3ejdr,gmail.com,불교,신한은행,707-717-597201,5
2704,이협덕,남성,160.5,66.5,A형,19620608,010-7180-6252,mznslo,daum.net,불교,수협중앙회,1292-9789-9974,8
2730,박은남,여성,150.3,51.3,B형,19640929,010-9900-0717,asatr0hlni,naver.com,불교,스탠다드(제일),530-37-227490,4
2738,김택협,여성,153.8,54.3,B형,19690320,010-6763-0219,sxgann1obe5d,daum.net,무교,신한은행,073-744-242980,6
2740,최훈진,여성,166.4,53.3,O형,19660418,010-3973-2711,fv4j1kr5d,yahoo.com,천주교,스탠다드(제일),430-07-476385,3
2746,김현영,남성,165.6,72.1,B형,19460605,010-5058-0319,jqpzwhh8f6a3,daum.net,무교,한국씨티은행,926-111785-018,5
2755,배준지,여성,145.2,48.4,A형,19950730,010-6569-5545,tkfmaqqhb,daum.net,불교,하나은행,026-757160-07673,9
2762,이진지,남성,173.2,70.5,B형,19831107,010-6136-3121,vc6fvixhi,daum.net,무교,국민은행,746269-26-032090,9
2766,박준성,남성,161.4,63.9,B형,19660928,010-8923-4436,cnwh0y0sj,yahoo.com,무교,스탠다드(제일),204-86-084396,4
2769,김희현,남성,178.1,73.1,O형,19580808,010-1030-8624,r9023v16g,yahoo.com,무교,새마을금고,8-29899477387-1,5
2770,황덕희,여성,152.3,49.1,B형,19580709,010-2064-7298,gb5zguy01idh,gmail.com,불교,신한은행,217-962-178209,9
2771,이훈석,남성,166.9,69.8,B형,19771103,010-7551-9434,bv2z7lgoh65,gmail.com,무교,국민은행,513801-60-668929,8
2778,이덕준,여성,159.3,50.4,O형,19700404,010-0286-6727,cazba2zbonhil,gmail.com,무교,하나은행,759-269036-45606,5
2779,박남지,남성,164.0,65.2,AB형,19850507,010-3932-6879,rd74nube9yq,naver.com,천주교,하나은행,252-991664-26877,1
2785,신우영,남성,168.6,61.4,B형,19941004,010-5497-0539,vxhhtd8rhu,naver.com,무교,신한은행,374-546-252857,4
2789,김용훈,남성,172.7,66.2,B형,19691017,010-8185-9470,sr9e23,yahoo.com,천주교,하나은행,921-331039-31874,7
2794,서우영,남성,174.4,66.2,B형,19730406,010-1451-1704,bcv4rnghlo8r,gmail.com,무교,스탠다드(제일),481-97-708589,1
2795,김지훈,남성,166.6,68.8,B형,19460815,010-2166-7994,fbjqew2a8u4i,naver.com,불교,외환은행,049-780900-420,7
2797,정은서,남성,179.2,69.1,A형,19890205,010-2564-1772,z64lvyuwcgt9,gmail.com,기독교,국민은행,476524-20-329573,7
2799,오지종,여성,154.5,57.2,B형,19501003,010-7693-2621,grs37vb,yahoo.com,불교,기업은행,807-343320-99-008,6
2802,송서지,남성,168.4,65.0,B형,19620801,010-1289-3494,dqdbw5ep5y,naver.com,기독교,우리은행,3261-315-577156,6
2806,김준남,여성,160.9,53.9,B형,19650716,010-7531-7522,qq8cq7eqgybn8,gmail.com,무교,기업은행,137-304744-86-400,3
2808,은용성,남성,165.5,63.7,A형,19700513,010-2800-7428,xdat13qlkwl3z,daum.net,무교,기업은행,116-689314-55-320,4
2809,송지석,남성,162.5,64.8,A형,19470410,010-8204-2406,m08vhet1,yahoo.com,천주교,기업은행,339-031285-17-273,2
2810,박용은,남성,166.6,63.5,A형,19720105,010-4635-5231,zw6u52jr,naver.com,기독교,외환은행,562-556324-666,2
2814,김남서,남성,171.2,66.5,O형,19930816,010-8397-4463,osgtbu1,naver.com,무교,국민은행,757235-80-911244,7
2818,강석택,여성,156.2,55.2,A형,19670104,010-4940-1075,cefl3xkzc,gmail.com,기독교,새마을금고,1-43092889345-0,8
2820,오은지,남성,171.6,64.6,A형,19910604,010-4832-0829,pcg5slwaeb,daum.net,무교,하나은행,869-916164-62674,3
2821,신용은,여성,161.7,54.7,A형,19551020,010-0425-9831,fp25c8l6s7,daum.net,기독교,기업은행,628-428790-03-498,9
2823,황정영,남성,167.2,61.0,A형,19700913,010-5691-7622,w4lozbp72,daum.net,천주교,신한은행,301-409-097728,3
2828,강훈준,여성,155.9,53.3,O형,19750503,010-6231-9813,aq9kzu8nk,yahoo.com,무교,새마을금고,7-98121162946-3,7
2834,양은진,남성,169.4,66.3,A형,19580225,010-7429-7154,k815u8f55qc,gmail.com,불교,외환은행,337-394306-735,5
2837,김준현,남성,166.3,63.7,B형,19641121,010-1407-2543,hajj9uzxtm,naver.com,기독교,외환은행,314-985634-192,4
2838,심용영,남성,176.2,67.4,AB형,19840404,010-5788-7623,ht7u29,yahoo.com,불교,수협중앙회,4524-4617-0633,4
2839,조지훈,남성,161.6,72.3,B형,19811030,010-0554-3000,gkrwxii2ab,yahoo.com,불교,한국씨티은행,318-943328-564,1
2842,김택석,여성,156.3,58.1,AB형,19711120,010-3430-1133,apv36a1u5t6o,daum.net,무교,외환은행,402-387526-789,5
2845,윤준영,여성,156.6,49.1,B형,19890906,010-7352-1627,hrkovqq6r,yahoo.com,기독교,우리은행,7642-598-270456,9
2848,최훈우,여성,155.5,50.5,O형,19620612,010-5112-2402,giryvahml,yahoo.com,불교,기업은행,157-078185-19-075,4
2849,홍훈정,여성,157.7,58.7,B형,19690925,010-8831-9760,d4i5up7ckd,yahoo.com,무교,NH농협,737-0317-944-85,7
2852,정정훈,여성,152.7,60.7,O형,19571027,010-3211-3436,glwdta2w2,yahoo.com,무교,스탠다드(제일),291-67-139808,1
2853,김정지,여성,154.1,62.5,A형,19850926,010-5843-3137,k8tizsvacgh6q,naver.com,무교,하나은행,064-665222-11559,5
2865,강정진,여성,144.2,52.7,O형,19940511,010-3149-7504,m5zkpbx9s,yahoo.com,무교,기업은행,598-366883-07-814,5
2869,조서택,남성,163.7,71.9,A형,19900228,010-1880-3152,dygxvljh,daum.net,무교,한국씨티은행,883-441995-604,4
2874,김영정,남성,174.1,65.1,B형,19890622,010-1363-1179,r2cqcwkep,yahoo.com,천주교,국민은행,064955-46-890102,9
2881,김현희,남성,160.1,63.8,A형,19620205,010-3661-4191,hk6gare742,daum.net,무교,새마을금고,8-80705458832-7,7
2882,윤현은,남성,170.5,67.2,O형,19730311,010-9286-0184,ivvd6eycs0yg,yahoo.com,기독교,우리은행,8205-797-811103,9
2883,곽현은,여성,163.4,53.2,A형,19641215,010-2014-4761,soijmytt,naver.com,무교,수협중앙회,5846-8934-9861,6
2886,조상석,남성,165.0,68.2,A형,19730510,010-2116-1599,fe5i3cbgake0g,naver.com,불교,새마을금고,1-38007205875-8,8
2888,송훈우,남성,169.2,70.1,O형,19711009,010-6573-6805,ox6vezcfpsru,naver.com,천주교,스탠다드(제일),620-04-555413,3
2894,김성종,남성,169.8,54.8,A형,19500211,010-1377-9028,oiq97d5cyvo,gmail.com,불교,국민은행,727630-26-731135,4
2897,이정지,남성,170.1,60.9,B형,19550322,010-1819-9794,e3h4j3qpaeq,yahoo.com,불교,스탠다드(제일),438-94-266535,7
2903,안성영,남성,177.4,71.9,B형,19551201,010-4943-8563,jzffi0xz8,yahoo.com,무교,신한은행,068-296-035238,9
2904,강현우,여성,158.7,57.9,A형,19950115,010-9801-9438,cvacckztom,gmail.com,기독교,새마을금고,6-95743184381-4,5
2908,원은성,여성,160.7,53.9,A형,19560725,010-8767-2290,s91riq0oy7f,naver.com,불교,신한은행,411-954-780327,9
2910,이준희,여성,160.2,56.4,B형,19850328,010-1373-2259,g13im6e94,daum.net,무교,외환은행,450-195303-394,6
2911,백준훈,남성,159.6,70.4,B형,19460616,010-2535-7527,b3cnzacpm9nz6,daum.net,불교,스탠다드(제일),740-00-384694,4
2916,허상영,남성,172.1,65.9,B형,19750825,010-7739-3734,qghsbbu7kro,naver.com,불교,외환은행,601-466373-015,5
2920,최진지,남성,162.5,64.5,B형,19730319,010-3405-7464,are7btrdl3,naver.com,무교,스탠다드(제일),560-37-618768,5
2921,최지남,여성,160.7,48.6,B형,19710224,010-1413-6770,fztk430h0fg,naver.com,불교,한국씨티은행,911-208014-353,1
2932,정종진,남성,169.9,68.4,B형,19500709,010-6629-3435,fpv1egzsqb1,naver.com,불교,우리은행,2275-209-504390,4
2938,선지남,남성,165.3,61.9,A형,19660602,010-7150-9266,a39uqb,gmail.com,무교,하나은행,231-653448-27349,6
2939,송서성,남성,175.8,62.6,O형,19530711,010-6313-6798,gvszgby07g,yahoo.com,기독교,신한은행,001-939-804100,8
2954,정준진,여성,150.3,54.8,O형,19531031,010-6561-2200,rcx82pz,yahoo.com,불교,한국씨티은행,323-669029-739,3
2957,최현영,여성,151.2,50.2,AB형,19960605,010-6619-7032,bkahsh0nd,naver.com,무교,한국씨티은행,035-114127-848,6
2959,김협지,남성,170.1,66.2,A형,19580714,010-4273-2600,u09iufbzk,daum.net,무교,새마을금고,0-89821536664-5,4
2960,박지우,여성,159.9,53.3,B형,19840606,010-7866-7872,ib1ern1ixhi,daum.net,무교,NH농협,304-4691-531-72,6
2966,김훈희,여성,152.3,49.5,A형,19700507,010-9018-2430,uhuhegzjf,naver.com,기독교,새마을금고,5-82624865545-8,1
2967,김지덕,여성,155.4,55.3,O형,19941019,010-9098-6103,zruzymt,naver.com,불교,하나은행,509-567620-35398,1
2970,김진희,남성,169.2,73.4,A형,19610403,010-4460-2690,lmmhfbs6vnxr,daum.net,불교,기업은행,874-871091-30-926,7
2971,김희상,여성,152.4,54.7,A형,19721103,010-7572-8206,u1esz7d,gmail.com,불교,새마을금고,7-93353126767-1,9
2976,최상훈,여성,150.9,55.9,O형,19800418,010-4341-4044,nc8qhawnro,daum.net,무교,기업은행,682-706229-79-101,3
2978,최용정,여성,155.2,41.5,A형,19961021,010-9588-6180,dcgsd8nu,gmail.com,무교,NH농협,251-1054-944-68,5
2983,송훈서,남성,169.2,62.9,B형,19660526,010-9151-1875,k0mc2suu,daum.net,불교,기업은행,160-321027-66-992,6
2985,이준희,여성,151.7,48.7,A형,19650628,010-3148-4885,yfguyg7eumw0c,gmail.com,무교,스탠다드(제일),575-30-402954,9
2986,황지서,남성,171.4,67.1,AB형,19510810,010-6024-5058,bem614,naver.com,기독교,기업은행,645-515625-18-740,7
2991,최정지,남성,174.6,60.6,AB형,19910123,010-2452-7737,rk8myfmu4,naver.com,무교,NH농협,890-1772-410-08,7
2994,장서준,남성,166.1,64.7,O형,19770429,010-5464-9149,w3d2q3rt9iz8,naver.com,불교,한국씨티은행,557-713939-692,8
2996,이성희,여성,160.4,44.3,B형,19820421,010-0610-1305,gb1htzk6v,yahoo.com,무교,새마을금고,3-87307009239-9,8
3015,조희은,여성,148.2,47.6,A형,19761129,010-6296-0578,d4yddu0jqruqj,gmail.com,무교,신한은행,337-880-734970,1
3020,신상용,여성,161.9,56.3,B형,19730524,010-0999-6060,zcxh0nszjcn,naver.com,불교,우리은행,3669-838-163408,6
3021,김협정,여성,168.8,47.4,A형,19640322,010-4259-8205,psawmnzz77wlo,gmail.com,천주교,수협중앙회,8776-0844-5818,5
3022,박현용,여성,156.9,46.6,B형,19610606,010-3938-2964,k7xhochag94,naver.com,무교,우리은행,8963-394-089173,6
3025,오준용,여성,147.0,54.4,O형,19690628,010-7048-1771,z6ht36vquo3,gmail.com,천주교,한국씨티은행,224-356640-238,5
3028,정훈우,여성,147.3,63.5,A형,19780402,010-6250-5010,cwq9xhllx,daum.net,불교,국민은행,914656-28-030410,9
3030,김우상,남성,169.7,75.2,AB형,19600327,010-6302-4092,sio42mgbm,naver.com,무교,하나은행,001-652567-50120,8
3034,이덕성,남성,172.4,64.5,A형,19891025,010-2429-6494,gwdbfuzzspf,daum.net,기독교,외환은행,770-361027-334,9
3044,안준진,여성,146.7,54.7,B형,19550302,010-7191-3559,rqp2woh6vfmo,naver.com,무교,새마을금고,9-90812592761-1,8
3047,오종영,남성,174.7,68.4,AB형,19880227,010-9918-6975,ybyw7ego,naver.com,무교,기업은행,542-875772-64-863,6
3048,이영상,여성,157.8,46.5,A형,19820722,010-5867-7947,zqg2volxjg0,gmail.com,기독교,수협중앙회,9020-3398-6362,7
3052,김종지,남성,166.6,69.6,O형,19611127,010-6303-7625,w98hqtewk02e,gmail.com,무교,한국씨티은행,033-877945-962,9
3054,조지종,남성,175.2,65.1,B형,19690208,010-2819-5598,xpcofst,naver.com,천주교,하나은행,614-519651-17712,3
3055,이준협,남성,169.2,68.7,O형,19480316,010-0677-6424,g9n80usit6y,naver.com,기독교,스탠다드(제일),554-21-947908,8
3056,양석지,남성,168.4,58.4,A형,19870422,010-1215-4757,qva1m3r,daum.net,무교,스탠다드(제일),613-27-907957,5
3070,김은준,남성,171.4,70.5,B형,19541001,010-2371-5114,y9tl34o0o1viz,yahoo.com,무교,기업은행,466-944034-96-244,8
3072,김준석,남성,163.9,63.5,A형,19501120,010-8702-4902,x4b1mm8enrvos,naver.com,기독교,새마을금고,3-45572910810-3,2
3073,이영준,여성,152.7,54.3,B형,19860402,010-6561-5177,o74na7j09,gmail.com,불교,신한은행,888-665-709246,8
3087,박지정,남성,165.0,64.8,B형,19720521,010-2401-1703,z2cyblhnqtag,gmail.com,무교,스탠다드(제일),241-75-841355,3
3099,조우서,여성,156.6,48.8,A형,19700114,010-4546-2552,nbjuzxkba,naver.com,무교,우리은행,5073-985-360875,9
3101,공진성,남성,170.2,64.6,B형,19630626,010-3447-8842,m2ksxevfdgnvv,naver.com,무교,기업은행,437-427621-40-055,9
3105,이지석,여성,151.0,47.7,A형,19531027,010-0523-1779,jdf7nxy9g00ts,gmail.com,무교,외환은행,436-416472-969,4
3113,우덕용,여성,163.2,52.5,B형,19520722,010-9349-7380,tvew6txhbs,daum.net,천주교,기업은행,782-617799-97-387,6
3116,정덕은,남성,171.9,70.1,B형,19920414,010-8513-2984,dyjqdwg,daum.net,불교,우리은행,0017-842-000638,2
3119,김덕준,남성,165.2,66.0,A형,19811212,010-3336-0626,pgle60v1m,gmail.com,무교,스탠다드(제일),754-89-608195,3
3131,이용희,여성,156.1,57.0,B형,19950704,010-6560-7157,zjepc07,yahoo.com,불교,국민은행,579708-74-473084,9
3134,조우정,남성,181.2,71.0,A형,19891020,010-3839-5272,p5ge3o63nw8o0,gmail.com,천주교,국민은행,219493-73-395505,6
3135,권성훈,남성,174.9,69.3,B형,19910816,010-0542-7251,rk7j6o,naver.com,무교,우리은행,3697-123-111861,2
3139,윤우지,여성,155.3,60.3,O형,19901103,010-1224-2958,mf5pfn68t,gmail.com,무교,한국씨티은행,381-640898-157,5
3143,김영정,남성,176.7,63.8,A형,19600904,010-6211-5929,vmhpaup1b,naver.com,무교,신한은행,742-335-356009,2
3153,조지서,여성,143.8,47.2,O형,19661031,010-2527-7626,jdwkyseb8e5d,gmail.com,무교,우리은행,0859-192-663936,8
3158,한준진,남성,166.6,68.9,O형,19950505,010-5013-4126,tpb1i982,gmail.com,무교,기업은행,316-862885-38-538,4
3159,김훈용,남성,172.9,69.8,O형,19770120,010-4303-9296,lqrwwwt6j75r,yahoo.com,무교,새마을금고,2-76768326318-7,2
3172,신상현,남성,169.4,59.8,AB형,19650908,010-4921-9032,b3t5ku,yahoo.com,천주교,스탠다드(제일),190-41-451229,4
3173,정영정,여성,161.8,50.6,O형,19560811,010-7353-1640,pup0lyxzosm5b,daum.net,무교,외환은행,985-713829-461,7
3175,김서석,여성,153.5,58.9,B형,19910219,010-9498-8210,iuvy4peq3riko,daum.net,기독교,하나은행,684-658584-18337,2
3177,강용희,남성,175.9,66.2,B형,19710316,010-6578-1104,cao32x3ray,gmail.com,기독교,하나은행,098-227485-04652,2
3178,김지상,남성,173.0,66.9,A형,19571102,010-2395-4634,svdh745,gmail.com,무교,NH농협,762-8437-011-91,7
3184,오정현,여성,147.1,55.8,O형,19510812,010-6757-2860,gqczn1xcw7mwy,naver.com,기독교,스탠다드(제일),024-32-776625,8
3188,박우덕,여성,159.0,55.2,AB형,19670218,010-5062-1534,f3t59dz9,daum.net,천주교,새마을금고,8-53762781608-7,6
3196,김훈준,남성,171.3,66.6,O형,19820716,010-5344-8988,mpdcgcq5ow5p,gmail.com,기독교,하나은행,045-259225-41157,7
3199,허지석,여성,153.7,59.1,B형,19860814,010-0123-3626,rz8a32xr,gmail.com,불교,수협중앙회,5345-0611-3560,4
3204,조상석,남성,166.6,65.9,A형,19911228,010-1709-0495,zfvozabbe,daum.net,불교,NH농협,879-2434-632-16,8
3205,유상석,여성,156.1,48.4,B형,19620426,010-2957-9235,lp1fzx5,gmail.com,불교,하나은행,246-612070-89319,5
3213,전성정,남성,167.8,69.7,O형,19741122,010-5254-9957,ckgrcexspf8sh,daum.net,무교,한국씨티은행,093-161758-934,3
3216,한우상,여성,147.7,65.3,B형,19731011,010-2344-9746,fytixj175r1xh,naver.com,무교,하나은행,543-442264-95201,5
3218,이준용,여성,159.5,51.8,B형,19471031,010-8052-8793,eirsnr548o,gmail.com,무교,외환은행,245-887829-727,5
3219,배종희,남성,174.8,69.0,A형,19550409,010-1117-4891,v5sn2jlar,daum.net,무교,외환은행,399-188528-402,8
3233,김현영,여성,154.2,60.8,O형,19510711,010-2819-0932,q3et41qq3,naver.com,무교,수협중앙회,4252-1893-5352,8
3238,오진택,남성,168.3,63.7,A형,19630429,010-2226-0774,hvr0n56,daum.net,무교,한국씨티은행,237-290355-938,3
3239,신석용,여성,159.9,58.1,A형,19661010,010-9974-1822,g3j0wrk8c8h,gmail.com,불교,우리은행,6128-954-275938,5
3242,김준서,여성,142.5,55.9,O형,19540310,010-9642-2523,yy09bsihjakdh,naver.com,무교,수협중앙회,0749-5986-6798,4
3246,전지종,여성,160.1,52.7,B형,19500420,010-2929-5539,vcasyb2c,naver.com,무교,우리은행,6501-387-944912,8
3251,김영남,여성,163.0,51.7,A형,19700509,010-0247-1779,qtw32is2oh2,gmail.com,무교,스탠다드(제일),073-54-693009,2
