No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
8742,박진택,여성,162.2,57.4,O형,19781225,010-7053-0076,zuto5jh09dhls,gmail.com,무교,129.15.217.61,0d:c5:52:61:68:c8
8754,김준종,여성,160.8,55.8,B형,19700928,010-5556-3592,lt2hfyri3,naver.com,기독교,231.237.111.245,02:60:e1:e5:c6:aa
8760,최석진,여성,173.4,57.9,O형,19530728,010-1805-7754,vv611987,gmail.com,무교,153.109.194.211,cf:82:70:3e:32:4c
8761,고남영,여성,151.4,57.3,A형,19920204,010-3941-6414,f7bv5jsuusp,yahoo.com,기독교,103.237.160.112,9e:9a:58:c4:ae:b3
8764,이지석,남성,168.2,68.1,AB형,19600902,010-2758-9941,zp87d0j4x,gmail.com,무교,134.8.125.110,67:68:63:87:60:82
8767,박지은,남성,170.5,66.7,A형,19750916,010-4229-9169,ue19ez,daum.net,무교,6.6.140.232,87:fc:01:16:a8:57
8773,안훈택,남성,164.3,71.1,A형,19700706,010-7982-7552,uvg1xjkr,naver.com,무교,209.91.254.18,39:d9:da:7e:b1:e5
8774,강지덕,여성,148.7,58.6,O형,19550804,010-2565-1995,g77hl5m64,yahoo.com,무교,42.161.225.108,fb:0c:b2:32:6b:9e
8775,이은현,여성,150.9,48.1,O형,19750901,010-5566-9900,e026yt9,gmail.com,무교,58.116.29.235,93:e3:0c:af:68:57
8781,강석준,남성,174.8,61.0,A형,19640725,010-2153-0652,vzfosilpv,gmail.com,무교,85.141.93.123,42:75:1a:a9:49:df
8784,김훈현,남성,168.0,59.0,B형,19961029,010-6446-7417,dmix22hvpb6m3,yahoo.com,불교,44.135.176.172,3b:70:43:5a:94:95
8786,김용성,여성,160.7,56.4,O형,19930101,010-4731-2131,g53ecsul,yahoo.com,불교,98.121.135.97,60:46:dc:11:29:12
8788,이종성,남성,172.2,63.8,A형,19890524,010-5996-6809,lv5yd396o,gmail.com,무교,26.218.105.222,58:68:8e:16:57:b4
8792,정덕훈,남성,171.9,60.5,A형,19750828,010-5497-1690,yuau1dor,naver.com,무교,185.224.221.178,02:a2:15:12:03:68
8793,임희지,남성,166.6,65.2,B형,19760317,010-0601-5633,ga7uvjxcozr1x,daum.net,천주교,178.206.144.127,28:36:0a:ca:6e:57
8794,노성준,남성,169.8,71.9,A형,19741207,010-3167-0258,sr4ztj7,gmail.com,불교,112.122.79.14,33:5f:68:1f:5f:aa
8799,이준정,여성,150.4,50.7,O형,19681230,010-4349-4347,tyryepfucl4nq,gmail.com,무교,33.46.88.20,ee:45:93:f4:b0:29
8801,박성은,남성,164.4,65.6,A형,19850205,010-2274-9842,tbakb2xiaal7l,naver.com,무교,129.180.172.175,0e:6e:91:bc:60:f9
8802,이준용,남성,172.0,69.8,O형,19730613,010-7159-4431,cj68dybtw,daum.net,불교,228.238.62.59,b4:37:d0:a1:31:fe
8803,허남석,여성,158.2,56.6,O형,19570118,010-0252-0902,a4cqty,daum.net,불교,215.167.239.228,36:4a:a2:b1:ba:e4
8805,김용상,남성,165.3,69.8,O형,19641221,010-6166-4359,j1swsfd,yahoo.com,무교,143.2.158.98,34:10:ff:bf:39:57
8806,박준희,남성,173.3,73.0,O형,19790321,010-1495-3144,qkuaui02oefz,daum.net,무교,33.244.15.235,77:27:4b:74:14:59
8808,권영은,여성,159.8,55.1,A형,19571201,010-0228-1970,r47mz36b,daum.net,기독교,189.218.132.188,a5:37:80:28:7d:28
8818,김성우,남성,166.7,70.7,A형,19750317,010-8429-6804,fkdtbb,naver.com,무교,245.19.208.226,0e:26:b6:81:b6:ea
8820,오덕용,여성,159.7,57.2,A형,19540327,010-3276-1858,i4e0blxwme,yahoo.com,무교,231.64.41.246,1d:61:56:4e:75:19
8825,김상훈,남성,170.3,70.9,B형,19730315,010-0286-7638,cb62jojdz,gmail.com,무교,164.40.21.36,b4:c5:4c:2f:28:6c
8832,최영우,여성,154.8,51.1,AB형,19550119,010-6826-5946,s5v94hr2u,daum.net,천주교,179.100.155.180,0f:88:ae:e3:bd:cc
8834,김은정,여성,150.4,53.1,O형,19500825,010-0961-2788,fog4z8us5qg,gmail.com,불교,141.118.2.139,1e:d3:85:99:7e:dc
8836,류영우,남성,164.9,67.3,A형,19761220,010-2020-8927,zhzn1kj2,naver.com,천주교,70.30.113.194,94:00:0f:4a:c0:0a
8837,박준서,여성,155.2,58.0,O형,19950719,010-1828-0586,tm9hdqv11ipj2,naver.com,기독교,89.3.137.205,a4:5c:49:9a:c0:44
8839,홍준택,남성,166.0,71.4,O형,19960125,010-2428-2144,skvrauybq,daum.net,불교,44.240.20.224,e8:05:94:8a:30:c1
8845,신영지,여성,150.0,54.2,O형,19810330,010-5774-4178,iiik2xi9,naver.com,기독교,166.177.15.229,c2:20:97:cd:e8:c5
8846,이준덕,여성,154.0,55.5,A형,19860604,010-7424-3137,nmiy4ar8,gmail.com,무교,124.74.81.129,d1:c6:78:67:b6:c7
8860,최용종,여성,151.4,64.1,A형,19820930,010-7489-7940,awv5vg2tp,naver.com,무교,10.198.108.74,73:0f:0c:bc:0f:a5
8864,류덕진,남성,169.0,68.6,A형,19730613,010-1341-4860,t6n0jw9t8,daum.net,천주교,202.106.93.251,de:af:55:1a:4f:79
8871,이택석,여성,158.4,53.8,O형,19500809,010-9427-9236,ub6xr0,yahoo.com,천주교,76.85.177.49,9e:26:48:f9:ed:37
8872,조지석,여성,145.6,59.0,A형,19700319,010-9559-8592,vzeyavd,daum.net,불교,200.8.153.243,f2:f6:1c:f1:4e:23
8876,이종석,여성,154.3,56.0,A형,19770827,010-0060-7637,lybmduiqvjhx2,naver.com,불교,24.87.57.203,7e:ec:94:d4:f9:ad
8877,김지협,여성,163.0,51.4,B형,19940403,010-2611-0286,cobz3vd051v,gmail.com,기독교,122.24.191.72,e9:6e:c0:16:c1:ea
8878,김택준,여성,168.9,62.1,B형,19621217,010-9122-7065,amx337h,naver.com,불교,44.233.48.82,c0:70:91:c8:01:f3
8880,우협상,여성,145.5,57.4,A형,19950219,010-9616-1370,qytxzpg5is7qk,yahoo.com,무교,38.103.69.180,90:f9:3f:82:cc:37
8885,김정은,남성,173.0,65.9,AB형,19870429,010-6058-7867,j48qinrcroxz,naver.com,불교,16.105.228.238,d4:16:39:19:59:ac
8891,노서은,남성,167.6,66.0,A형,19960320,010-1248-6322,b8yjksg,naver.com,무교,119.108.232.93,d0:de:d5:23:10:10
8903,홍서은,남성,165.7,68.1,A형,19551208,010-7615-8895,mxj8ael4aooqx,daum.net,불교,160.253.107.80,8c:a0:03:77:d2:f9
8909,김우종,남성,171.0,65.4,O형,19470221,010-2709-9933,kil12zq44vgrh,naver.com,무교,195.237.151.174,32:72:f8:f4:6b:dc
8911,최협훈,남성,174.3,68.8,B형,19481215,010-1880-5533,kto3zj,yahoo.com,불교,105.127.225.59,ca:56:ae:46:0f:fd
8913,최은택,여성,155.0,49.1,O형,19690302,010-1358-5860,sipx3y9v7uoqa,naver.com,무교,197.45.167.243,f4:07:fd:62:6d:bd
8916,최종지,남성,166.9,70.4,A형,19660324,010-1333-3247,u2wv24eh,yahoo.com,기독교,145.229.75.172,82:20:be:5f:bf:3a
8923,한석현,남성,177.6,67.0,O형,19500625,010-2192-2792,vqhs68e4,naver.com,무교,25.252.222.237,8e:81:1c:bc:2e:c9
8925,강상준,남성,167.9,67.1,AB형,19940319,010-3842-9037,cgitlbkc3tmgv,naver.com,무교,23.50.147.190,8b:21:9e:26:58:01
8930,김훈희,남성,162.7,69.3,A형,19560222,010-3245-0123,o1o3r97,daum.net,무교,164.154.105.32,d5:74:98:40:a3:07
8935,이정영,남성,164.0,63.1,A형,19881116,010-2465-0103,oabmj1,daum.net,불교,195.204.168.125,4c:0b:0c:db:ec:d2
8936,강상협,남성,170.7,70.5,A형,19870622,010-0480-5333,hndy97g,gmail.com,기독교,176.3.90.17,a4:27:c5:8c:b6:44
8940,이덕남,남성,163.1,63.2,AB형,19870726,010-4036-3222,iyu6zyi,gmail.com,무교,236.4.47.33,ec:cc:dc:ee:3a:03
8941,김은석,남성,165.0,66.7,B형,19791105,010-2751-2511,ukq54z,yahoo.com,무교,80.152.136.26,2d:90:98:0a:e5:15
8942,추성영,여성,164.9,54.5,A형,19500319,010-9537-8916,aldo6tn9v,yahoo.com,불교,8.30.89.148,9e:10:2a:26:b6:31
8943,임석덕,여성,150.7,49.3,O형,19480901,010-3015-7950,mdseaylh5t,naver.com,무교,93.206.201.14,57:fc:12:27:73:58
8945,윤서용,남성,169.5,62.7,A형,19770102,010-0083-4997,y4gp39n,yahoo.com,천주교,252.7.97.68,2e:d3:48:09:d9:e9
8948,강준서,여성,161.4,58.5,AB형,19461215,010-2101-3530,hk7fo5wybp,daum.net,기독교,151.250.159.17,b9:31:05:a6:5f:2a
8950,임종서,여성,155.9,51.0,A형,19660403,010-8650-5493,oow6gnetg1,daum.net,불교,11.139.131.167,29:15:03:50:74:ed
8955,박준남,여성,158.8,61.3,AB형,19650804,010-7463-7527,aprkub3kd7,yahoo.com,기독교,88.21.236.48,0a:9f:b5:77:67:cf
8956,서상현,남성,170.8,66.1,B형,19671230,010-4531-1928,oqidew8,yahoo.com,무교,148.154.44.103,c9:ee:12:c1:af:ef
8958,김현택,남성,169.0,65.4,AB형,19520130,010-9699-8624,af7pyshm3,gmail.com,무교,208.6.40.177,86:ec:b4:ef:dc:6a
8959,김정은,남성,172.8,70.0,AB형,19650325,010-8494-9494,z6y3ws5pi,yahoo.com,불교,97.246.57.126,92:5d:76:7b:23:f8
8960,변준덕,여성,159.1,57.9,A형,19721104,010-2142-3290,i1r8dgfksh,naver.com,천주교,170.194.112.158,65:45:a1:b8:f8:51
8963,남택서,여성,159.9,48.6,AB형,19680706,010-8382-2561,otpffho,yahoo.com,무교,188.98.42.206,4a:ae:b3:a5:63:d2
8979,차영석,남성,163.0,64.5,O형,19520516,010-2297-5864,q1qxercxmv9d,daum.net,기독교,144.4.241.64,35:6e:ea:20:f0:0d
8981,박정성,여성,151.8,50.2,B형,19630928,010-7395-7554,qt1vin9,daum.net,기독교,235.237.166.128,f8:39:60:6a:82:4d
8987,남성석,남성,165.2,65.2,A형,19830115,010-6709-4072,v5p70c9,naver.com,기독교,208.135.169.129,24:47:5b:7f:18:af
8989,김석영,남성,162.6,65.6,A형,19710521,010-0200-5035,wdxekjfnf5mww,gmail.com,불교,63.9.231.82,aa:54:bd:43:48:69
8998,최진서,여성,147.5,57.3,B형,19551117,010-5827-3095,qlri6pqqmt63,gmail.com,무교,227.130.43.138,9e:d8:b0:a6:ea:f4
8999,서서지,여성,164.7,53.9,B형,19780803,010-3404-8745,w9i8snvy5,daum.net,무교,61.230.28.13,d7:f6:a6:a5:bc:4a
9001,방준훈,남성,180.5,69.6,B형,19620919,010-3902-6817,sw7def12uz,daum.net,무교,87.207.71.156,6a:42:90:ab:63:ce
9004,최지진,남성,174.7,65.7,A형,19611125,010-0700-4392,kc9e8c,naver.com,무교,205.14.117.246,be:0f:9c:b1:9d:b9
9005,임협준,남성,168.8,65.6,A형,19870910,010-0247-3599,fx71fus035,gmail.com,천주교,61.22.141.123,82:24:8c:2a:ef:c3
9008,최덕성,남성,164.7,68.6,O형,19530911,010-7708-6684,zo0h7khz0v,daum.net,무교,202.247.28.19,2f:24:17:a6:fb:cd
9009,문현용,남성,167.8,68.3,O형,19720714,010-8325-7115,xa7grqrs,yahoo.com,기독교,32.218.96.218,fa:08:0d:a7:ed:60
9010,진서지,남성,166.5,67.9,O형,19960610,010-2679-0201,on60do,yahoo.com,천주교,209.121.97.25,5a:d4:4a:2b:06:2f
9011,김지성,남성,168.7,63.8,B형,19820720,010-9434-5411,c8kezf7zy23ne,yahoo.com,무교,203.181.111.167,9e:a1:b4:92:50:97
9012,이서남,여성,166.2,49.9,B형,19551228,010-5385-3967,nyovra,naver.com,무교,144.20.66.86,56:c3:e2:54:c3:87
9015,조정현,여성,156.5,54.7,B형,19850807,010-7270-4608,l5p73934a2,yahoo.com,기독교,46.124.49.175,ef:f1:23:4b:e7:e4
9016,김우영,여성,144.7,48.7,AB형,19890220,010-5205-9059,p57224d5,naver.com,천주교,240.202.70.90,fc:dd:c7:6d:34:c0
9018,이은현,여성,159.1,58.2,A형,19940125,010-0119-8034,fozraeyn,naver.com,무교,157.50.4.163,76:7c:e1:b5:2e:90
9019,민덕정,남성,169.7,63.4,O형,19531203,010-8248-7703,e2qte2dcv,naver.com,기독교,183.178.3.23,b4:65:d6:bf:b4:99
9020,김현지,여성,142.1,54.6,A형,19771128,010-0128-9145,t5sbvsooap,gmail.com,무교,163.190.231.61,ec:aa:a0:66:26:f2
9024,김정은,여성,159.9,57.7,A형,19750603,010-8022-1969,lg0ddw,yahoo.com,무교,8.173.73.50,ab:aa:b2:4c:1a:82
9028,문은지,여성,155.9,53.0,B형,19651119,010-3453-8760,ub0y6r8u,gmail.com,기독교,139.62.232.231,e8:00:b0:64:40:1f
9030,서정준,여성,150.2,57.5,A형,19950321,010-1698-4421,u7xzjbbrrbez8,daum.net,천주교,194.114.102.36,79:1c:99:48:1b:f6
9041,방덕지,남성,163.2,65.8,A형,19570514,010-7098-7551,tria1cy3w0d,daum.net,무교,82.189.139.84,02:ed:93:a3:4d:58
9042,류석준,여성,150.9,54.0,A형,19660607,010-9813-0580,v0th3paz,yahoo.com,불교,122.187.232.117,88:33:35:cf:be:73
9053,이현희,남성,178.6,71.3,O형,19791111,010-5574-1976,exp8wpsujh,yahoo.com,불교,103.74.49.228,91:0b:cc:ab:0c:83
9055,조우협,여성,157.3,53.6,O형,19540314,010-5731-7444,s1cfgiwm,gmail.com,불교,38.19.115.38,06:50:59:3e:4a:c4
9059,허은준,남성,173.7,55.5,A형,19640121,010-5463-3090,z5s5hp81a0,naver.com,불교,122.151.10.243,32:ef:87:c3:a8:64
9063,임덕은,여성,154.7,50.2,B형,19860616,010-2603-0715,l9blgkaa1s3,gmail.com,불교,50.17.52.152,c0:a8:37:1e:40:69
9064,정정희,여성,147.1,56.7,AB형,19561206,010-7234-8573,yehqidqavm,daum.net,불교,85.184.208.54,12:48:1c:aa:a4:b3
9070,송희영,남성,165.0,59.0,B형,19770507,010-6912-0312,lz1yo0h5145,gmail.com,무교,218.118.234.161,6f:2c:ac:27:4b:c1
9075,김희진,남성,170.0,67.1,A형,19620913,010-6254-4631,a85aisrxl,naver.com,기독교,161.214.234.3,7a:53:a0:a1:c8:5d
9089,이협덕,남성,169.1,61.6,A형,19500413,010-5039-1773,h4b4e8ui5os3,gmail.com,무교,178.245.130.204,b7:ae:6d:f4:2a:88
9090,김협성,남성,176.2,63.4,A형,19460330,010-5913-0019,ilzctjg,yahoo.com,불교,62.235.44.216,ce:b6:c2:dc:1a:fe
9097,이택훈,남성,165.7,70.6,O형,19720324,010-4128-0968,u66tfz,daum.net,기독교,173.7.60.125,6d:aa:df:d8:f6:9a
9106,서준택,남성,172.1,64.5,AB형,19770526,010-7552-9004,t21uq4,gmail.com,불교,95.211.82.111,cb:f8:53:c9:8f:1c
9112,천훈용,여성,156.4,62.5,AB형,19751001,010-1241-5994,twywrya9csi,yahoo.com,무교,151.58.35.79,f2:1d:75:b6:52:f1
9117,김종현,남성,167.4,64.0,A형,19880707,010-3800-7362,x54ltkt,yahoo.com,무교,240.135.136.210,03:39:8c:a3:d5:a4
9118,이종서,남성,183.9,61.6,A형,19641123,010-4437-7030,t61gzwl,yahoo.com,기독교,154.11.115.173,81:9e:d4:b2:32:ee
9123,김지덕,남성,165.4,66.2,B형,19550813,010-8509-6056,i3f6ct7vy,daum.net,불교,89.219.157.140,9e:b9:0f:ab:3a:22
9124,강석택,남성,173.0,58.3,B형,19610111,010-8116-0304,gkj7aixgl8zl,naver.com,기독교,243.39.149.63,bf:03:44:f0:c3:cb
9137,배정훈,여성,151.1,60.4,A형,19581008,010-3378-3320,z9iyum34f0,naver.com,무교,67.21.179.138,10:da:fe:08:db:5a
9138,김훈협,여성,153.6,62.9,A형,19530310,010-8013-8137,f0ijozmx8oe,naver.com,기독교,86.17.185.78,e1:73:2a:eb:af:52
9141,남남지,남성,166.9,64.1,A형,19490112,010-4446-1525,tgmvp9leeom6,naver.com,기독교,116.120.77.168,23:1e:28:46:7a:24
9151,이지준,남성,164.5,70.3,A형,19561114,010-5647-4956,lv3kqib,gmail.com,기독교,168.126.243.113,a8:d0:50:16:2c:78
9152,김상은,남성,170.3,62.4,O형,19750814,010-4736-0839,ih9kir9x9xih,naver.com,무교,114.204.144.213,dd:0f:7d:3a:56:80
9154,송종훈,여성,151.2,54.2,B형,19490502,010-0425-8145,cil3kh6gmy,naver.com,기독교,187.254.213.218,b3:77:50:81:b7:d1
9159,황진희,여성,151.0,50.9,B형,19791021,010-7417-8231,wckhfv4,naver.com,불교,73.212.109.5,e0:40:8f:0b:ac:85
9161,김상현,남성,171.4,67.1,B형,19940911,010-3482-5068,axhg3o,yahoo.com,기독교,152.133.22.177,1c:c8:34:bf:c0:23
9162,허지남,남성,176.5,71.7,O형,19811008,010-1983-0930,ddbc95p97,yahoo.com,불교,236.250.237.156,26:a0:16:28:8b:8c
9163,김남협,남성,167.4,65.3,AB형,19590613,010-3251-6042,rny1xhl,daum.net,무교,150.117.62.192,70:32:28:87:3d:0b
9172,박영상,여성,160.6,49.1,A형,19650615,010-2489-7104,qloff1uy9k9x2,gmail.com,무교,66.248.33.1,ba:17:16:e7:f3:d8
9173,최남석,남성,163.3,68.7,B형,19701115,010-8042-7803,ap5xw40a1yi8,yahoo.com,무교,152.20.161.155,de:bf:30:04:59:b1
9176,이지은,남성,171.1,65.8,A형,19521004,010-5925-6107,y7hwxa,daum.net,기독교,70.23.170.20,7a:71:a8:87:74:4b
9182,김정지,여성,158.1,54.8,O형,19841210,010-3252-8070,jtn3khpe8ua,yahoo.com,불교,170.153.73.252,0d:aa:b2:5b:bc:62
9184,이남영,여성,145.1,52.7,B형,19740706,010-4514-5898,pr721h,gmail.com,무교,191.171.212.202,17:c6:ea:04:63:ca
9190,이우성,여성,156.3,52.7,A형,19580114,010-5914-5065,ufi49jkvx,gmail.com,무교,59.70.126.220,43:33:32:73:58:31
9193,박석은,남성,172.5,61.0,A형,19910331,010-5147-6113,bxnwih,daum.net,기독교,218.220.205.163,2c:a5:ac:c5:a9:4a
9204,김정훈,여성,155.2,57.6,O형,19460201,010-6389-6755,ym4zgqk5hci3,daum.net,불교,123.53.221.124,de:aa:30:8f:1b:9d
9206,박종성,여성,163.0,58.1,B형,19540606,010-4091-7054,s6gn1g8zx7rnl,naver.com,기독교,9.43.205.193,f9:60:44:19:41:b6
9207,지정현,여성,156.0,55.2,O형,19590430,010-4547-5203,t0tv07bvxy,gmail.com,천주교,230.165.28.69,2c:54:84:7d:bf:69
9208,임훈우,여성,147.1,60.8,AB형,19951013,010-7526-5172,gfjodkfd,yahoo.com,무교,107.140.46.248,65:8e:94:41:e3:e6
9209,이덕석,남성,170.4,70.6,A형,19670828,010-1163-9679,ewjortl16we,yahoo.com,무교,56.172.101.45,45:71:6d:71:00:be
9218,이용협,여성,151.8,53.8,O형,19640328,010-8417-5364,frjvsn,yahoo.com,불교,139.159.88.38,87:57:96:5e:75:12
9221,서희훈,여성,145.5,54.6,A형,19710802,010-9303-6070,gb8uxf,yahoo.com,불교,92.37.209.150,45:a2:c2:5e:b7:7c
9226,이협용,남성,178.0,66.5,O형,19860418,010-2938-0813,z3h1mht45ti,daum.net,불교,176.110.43.135,c2:24:bc:58:08:41
9227,이석은,여성,147.1,52.8,O형,19950402,010-7122-4822,wnk2x0m7,naver.com,불교,203.35.111.130,29:eb:d2:f4:e5:cb
9228,김석덕,남성,180.5,65.5,AB형,19610202,010-4796-5167,oum71hzuxyc,daum.net,무교,173.38.180.150,23:fe:22:39:48:e0
9233,김종지,여성,163.6,61.4,A형,19770919,010-6455-1932,b50f5lbqjju2m,daum.net,무교,174.248.2.175,50:0c:d1:fe:e6:c2
9235,최종덕,여성,153.0,54.5,O형,19671222,010-2802-3713,jgposs81,naver.com,무교,19.48.125.149,b2:f6:12:39:e5:a0
9236,김성훈,남성,177.5,66.3,B형,19460702,010-2128-1286,tve3j4n,yahoo.com,불교,247.189.141.122,19:88:d7:7c:6e:86
9241,장협준,여성,153.1,63.9,O형,19820809,010-7606-0197,nvmdlwbq,yahoo.com,무교,242.165.117.34,56:29:d6:22:cb:84
9251,정훈용,남성,165.3,63.7,B형,19550714,010-4803-9063,w60l7u7,daum.net,기독교,9.64.170.83,01:f1:8e:6c:3a:bf
9255,이준은,여성,156.5,44.5,A형,19800609,010-3357-9115,m5csmqf0,yahoo.com,무교,167.155.190.119,7e:08:5b:45:29:c9
9257,박석진,여성,151.5,55.1,O형,19610127,010-7066-1069,ixyyc93pnvq,naver.com,무교,55.161.188.52,b2:91:24:0b:d4:98
9261,홍정지,여성,158.7,54.3,O형,19730818,010-8223-2245,zna4uieedo,yahoo.com,기독교,218.229.78.171,f8:93:82:6d:06:11
9271,장은상,남성,170.2,66.6,A형,19561021,010-7887-5465,v3dy4q8w8r685,naver.com,무교,138.111.212.8,09:0d:5b:06:09:3e
9277,정지택,남성,173.3,70.8,AB형,19820301,010-8969-8106,ub1fpp6,gmail.com,무교,88.239.19.231,24:43:b2:f9:6c:37
9285,윤종준,남성,161.8,65.7,B형,19690722,010-7960-3797,lmuvjjpitec5,naver.com,기독교,64.224.61.41,dd:49:0c:cf:13:d9
9289,이진석,여성,148.7,56.5,O형,19640706,010-9255-0117,wd9vc8hn9oze,gmail.com,불교,86.97.77.66,e4:64:25:c3:06:04
9293,이협성,남성,170.4,62.1,B형,19910930,010-4884-9284,x8ijo5ekbkm,naver.com,무교,162.125.71.158,0c:63:7b:47:8b:25
9299,김상현,여성,154.2,48.1,B형,19830603,010-2502-8255,jtwu69n5e3if,naver.com,무교,242.161.167.206,91:7b:28:24:9f:fc
9300,최성용,여성,158.2,66.0,A형,19660603,010-9835-8473,xius82,yahoo.com,무교,157.115.28.5,ab:88:e7:57:65:9e
9303,이은석,남성,172.6,63.8,O형,19630410,010-8692-1397,ox4rb5,daum.net,천주교,198.90.64.31,14:35:7d:6c:7f:c5
9304,조용훈,여성,162.1,49.4,A형,19490917,010-9528-9713,ca4fk2bdzow3b,naver.com,천주교,100.19.191.139,ab:5e:43:ac:f2:71
9313,박상우,남성,178.3,60.6,B형,19920727,010-1815-5463,eve9v7760imp2,naver.com,무교,114.211.133.24,28:b8:00:ab:1b:97
9314,변우정,남성,178.3,64.4,A형,19511122,010-9020-4490,dr38ot9,yahoo.com,불교,208.8.139.64,c8:44:a9:6d:c8:da
9317,윤서택,남성,176.6,64.0,AB형,19830605,010-5074-8478,ewhnb9tid1zrt,daum.net,천주교,100.108.155.130,0e:c9:40:8b:94:31
9322,김지서,여성,155.0,57.3,B형,19901204,010-0134-2427,etyxiwq8ek,naver.com,기독교,192.67.245.226,05:e9:6d:e3:24:cd
9327,양현석,여성,149.7,52.4,A형,19510114,010-0212-2079,wwtzvtf5mj,gmail.com,기독교,200.201.54.113,49:59:54:00:d7:67
9339,이준훈,여성,151.0,52.5,B형,19621016,010-4035-0835,cs0ny18vqn,daum.net,무교,23.205.213.108,81:38:46:73:63:bc
9341,김남석,남성,175.0,66.9,B형,19691030,010-4800-2975,dzkvr4160t2,daum.net,기독교,198.30.190.198,5e:3c:7c:9a:f4:41
9356,양상지,여성,159.6,49.5,AB형,19811023,010-4361-6081,mnbnlavxm,daum.net,무교,121.205.124.54,6f:b1:d2:93:96:73
9357,이준진,여성,155.9,55.4,O형,19901017,010-2100-2405,ngzrrmwhyx,yahoo.com,불교,27.123.139.62,05:e6:3d:f9:12:79
9364,김남준,여성,149.1,58.9,A형,19900613,010-2895-1540,p5orkyyt5,yahoo.com,무교,140.215.12.2,58:a2:d8:47:89:a7
9369,박협진,남성,168.2,68.5,O형,19630904,010-0345-5281,sywvm69xgrfcu,yahoo.com,무교,253.59.95.229,47:5c:70:0f:83:fe
9371,김훈덕,여성,153.8,53.9,A형,19470411,010-6099-7677,ijjema7tbpm,gmail.com,무교,247.173.66.155,9c:68:5c:56:00:52
9381,안준지,남성,165.3,64.5,B형,19691126,010-7177-5705,ou2gx21,gmail.com,불교,55.253.222.235,76:65:16:c1:60:75
9382,이종서,여성,161.8,52.0,AB형,19560713,010-0913-6046,o3mnl6k0wbw,daum.net,기독교,175.128.170.79,08:a6:8d:e8:07:ea
9383,이지준,여성,162.6,61.1,B형,19470524,010-9328-6322,yqt9szryrd,gmail.com,기독교,114.242.198.37,c0:32:1e:f8:42:fa
9386,박훈우,여성,161.6,61.7,O형,19740110,010-9348-2231,o466kd,gmail.com,불교,208.161.164.214,51:41:9f:3f:d1:d2
9387,조협서,남성,158.5,68.9,O형,19640122,010-0821-7626,j2uydidb,naver.com,기독교,143.230.240.61,6d:c7:e0:a1:07:98
9394,김용지,여성,154.1,57.3,B형,19480108,010-0677-9598,zqmgeux7l1is,daum.net,불교,8.241.67.136,f5:49:c4:f3:45:a4
9395,정용지,남성,186.8,67.2,O형,19680913,010-5331-8999,rs35hfgo,yahoo.com,무교,28.234.218.104,fe:ae:1e:a1:b2:67
9396,김준지,남성,166.9,62.6,O형,19620729,010-4392-3454,ygv0pq,daum.net,무교,242.17.9.66,f5:0a:85:6e:ca:73
9399,조현지,남성,172.7,69.0,O형,19860423,010-8813-8558,c9c65dpvpjhhf,yahoo.com,무교,124.50.166.104,ae:b0:fb:37:54:26
9401,정진남,남성,179.7,66.4,A형,19870306,010-0078-5528,ou2u6cnb8lxu,naver.com,무교,173.198.179.167,1d:ac:9d:f1:06:d5
9404,신상택,남성,162.7,64.6,O형,19811024,010-2815-8735,dxqh51z1,daum.net,천주교,105.185.200.22,02:d9:18:17:39:d6
9411,이은현,여성,156.3,52.5,AB형,19940712,010-7317-8992,hk74dozae,yahoo.com,무교,102.107.189.129,07:33:05:6d:e4:20
9417,장석덕,여성,151.0,60.2,A형,19460603,010-6193-2236,v3om8bgf2bw,naver.com,천주교,17.250.76.32,9c:ca:f1:d2:cd:52
9423,김희진,남성,173.1,62.5,A형,19700527,010-8289-8388,o9hh1qlaa,gmail.com,기독교,166.155.253.99,6c:d8:30:72:0c:bb
9424,송정석,여성,167.3,63.9,B형,19620715,010-4161-0717,bzldthar,daum.net,불교,244.201.168.147,d6:d5:d5:0f:f0:d4
9426,주서용,남성,162.2,63.9,O형,19740914,010-1210-0868,k79rnzx86qb,gmail.com,무교,49.133.150.119,3e:b7:02:6f:58:0f
9441,채희지,여성,157.5,52.9,O형,19630808,010-9797-8612,w1j69w4gum2,yahoo.com,불교,176.227.89.219,b4:78:5b:62:fc:a3
9442,함은서,여성,151.8,59.7,O형,19730804,010-5662-3707,btw8ajcdzns3,naver.com,불교,3.240.139.40,dd:58:c1:68:e5:fc
9443,이훈현,여성,161.5,54.6,AB형,19930718,010-3935-2942,x7htkqyxcaezs,gmail.com,불교,55.182.143.241,bc:a6:49:1c:be:f8
9446,안준협,남성,168.8,72.5,A형,19960115,010-3480-8502,pga08ckig,naver.com,무교,156.139.189.1,e2:19:2a:b9:ff:ea
9464,김상석,남성,174.1,64.9,AB형,19620822,010-7062-5008,w484mxkzj16,naver.com,불교,5.67.59.114,8e:d4:7f:d3:24:15
9468,김택훈,남성,166.6,64.7,O형,19700929,010-8499-4441,gmpzt8f,yahoo.com,기독교,133.78.10.55,1a:9b:39:e1:02:97
9470,박훈상,여성,165.0,54.7,AB형,19560719,010-7306-3570,nos5fn5cjji,daum.net,기독교,4.116.103.37,e0:79:3c:af:d0:03
9473,최상성,여성,162.0,51.5,A형,19520430,010-9909-1732,vfdf3g,gmail.com,불교,202.209.26.71,38:be:b8:d5:73:5c
